metric_id,metric_name,metric_category,metric_type,data_provider
433,maxexp_oil_sands_part,Expousure Metrics,float64,Clarity.ai
434,exp_oil_sands_prod,Expousure Metrics,bool,Clarity.ai
435,minexp_oil_sands_prod,Expousure Metrics,float64,Clarity.ai
436,maxexp_oil_sands_prod,Expousure Metrics,float64,Clarity.ai
437,exp_palm_oil_part,Expousure Metrics,bool,Clarity.ai
438,minexp_palm_oil_part,Expousure Metrics,float64,Clarity.ai
439,maxexp_palm_oil_part,Expousure Metrics,float64,Clarity.ai
440,exp_pork_products_part,Expousure Metrics,bool,Clarity.ai
441,minexp_pork_products_part,Expousure Metrics,float64,Clarity.ai
442,maxexp_pork_products_part,Expousure Metrics,float64,Clarity.ai
443,exp_pork_products_prod,Expousure Metrics,bool,Clarity.ai
444,minexp_pork_products_prod,Expousure Metrics,float64,Clarity.ai
445,maxexp_pork_products_prod,Expousure Metrics,float64,Clarity.ai
446,exp_pornography_part,Expousure Metrics,bool,Clarity.ai
447,minexp_pornography_part,Expousure Metrics,float64,Clarity.ai
448,maxexp_pornography_part,Expousure Metrics,float64,Clarity.ai
449,exp_shale_energy_part,Expousure Metrics,bool,Clarity.ai
450,minexp_shale_energy_part,Expousure Metrics,float64,Clarity.ai
451,maxexp_shale_energy_part,Expousure Metrics,float64,Clarity.ai
452,exp_shale_energy_prod,Expousure Metrics,bool,Clarity.ai
453,minexp_shale_energy_prod,Expousure Metrics,float64,Clarity.ai
454,maxexp_shale_energy_prod,Expousure Metrics,float64,Clarity.ai
455,exp_stem_cell_research,Expousure Metrics,bool,Clarity.ai
456,minexp_stem_cell_research,Expousure Metrics,float64,Clarity.ai
457,maxexp_stem_cell_research,Expousure Metrics,float64,Clarity.ai
458,exp_tobacco_part,Expousure Metrics,bool,Clarity.ai
459,minexp_tobacco_part,Expousure Metrics,float64,Clarity.ai
460,maxexp_tobacco_part,Expousure Metrics,float64,Clarity.ai
461,exp_tobacco_prod,Expousure Metrics,bool,Clarity.ai
462,minexp_tobacco_prod,Expousure Metrics,float64,Clarity.ai
463,maxexp_tobacco_prod,Expousure Metrics,float64,Clarity.ai
464,exp_artic_oil_part,Expousure Metrics,bool,Clarity.ai
465,minexp_artic_oil_part,Expousure Metrics,float64,Clarity.ai
466,maxexp_artic_oil_part,Expousure Metrics,float64,Clarity.ai
467,exp_predatory_lending_part,Expousure Metrics,bool,Clarity.ai
468,minexp_predatory_lending_part,Expousure Metrics,float64,Clarity.ai
469,maxexp_predatory_lending_part,Expousure Metrics,float64,Clarity.ai
470,exp_small_arms_part,Expousure Metrics,bool,Clarity.ai
471,minexp_small_arms_part,Expousure Metrics,float64,Clarity.ai
472,maxexp_small_arms_part,Expousure Metrics,float64,Clarity.ai
473,exp_white_phosporus_part,Expousure Metrics,bool,Clarity.ai
474,minexp_white_phosporus_part,Expousure Metrics,float64,Clarity.ai
475,maxexp_white_phosporus_part,Expousure Metrics,float64,Clarity.ai
476,exp_nuclear_weapons_prod,Expousure Metrics,bool,Clarity.ai
477,minexp_nuclear_weapons_prod,Expousure Metrics,float64,Clarity.ai
478,maxexp_nuclear_weapons_prod,Expousure Metrics,float64,Clarity.ai
479,exp_cluster_bombs_prod,Expousure Metrics,bool,Clarity.ai
480,minexp_cluster_bombs_prod,Expousure Metrics,float64,Clarity.ai
481,maxexp_cluster_bombs_prod,Expousure Metrics,float64,Clarity.ai
482,exp_thermal_coal_prod,Expousure Metrics,bool,Clarity.ai
483,minexp_thermal_coal_prod,Expousure Metrics,float64,Clarity.ai
484,maxexp_thermal_coal_prod,Expousure Metrics,float64,Clarity.ai
485,exp_gas_fuels_prod,Expousure Metrics,bool,Clarity.ai
486,minexp_gas_fuels_prod,Expousure Metrics,float64,Clarity.ai
487,maxexp_gas_fuels_prod,Expousure Metrics,float64,Clarity.ai
488,exp_gas_fuels_part,Expousure Metrics,bool,Clarity.ai
489,minexp_gas_fuels_part,Expousure Metrics,float64,Clarity.ai
490,maxexp_gas_fuels_part,Expousure Metrics,float64,Clarity.ai
491,exp_oil_fuels_prod,Expousure Metrics,bool,Clarity.ai
492,minexp_oil_fuels_prod,Expousure Metrics,float64,Clarity.ai
493,maxexp_oil_fuels_prod,Expousure Metrics,float64,Clarity.ai
494,exp_oil_fuels_part,Expousure Metrics,bool,Clarity.ai
495,minexp_oil_fuels_part,Expousure Metrics,float64,Clarity.ai
496,maxexp_oil_fuels_part,Expousure Metrics,float64,Clarity.ai
497,group_policy,Group Policies,bool,Clarity.ai
498,defense_policy,Group Policies,bool,Clarity.ai
500,climate_policy,Group Policies,bool,Clarity.ai
248,esg_score,ESG Score Rating,int64,Clarity.ai
