permid,isin,issuer_name,str_001_s,str_002_ec,str_003_ec,str_004_asec,str_005_ec,cs_001_sec,gp_esccp,cs_003_sec,cs_002_ec,str_006_sec,str_007_sect,gp_esccp_22,gp_esccp_25,gp_esccp_30,art_8_basicos,str_003b_ec,new_exclusion,exclusion_list
4295915102,US87426R2022,Talk America Holdings Inc,,,,EXCLUDED,,EXCLUDED,,EXCLUDED,,,EXCLUDED,,,,,,True,"['str_004_asec', 'cs_001_sec', 'cs_003_sec', 'str_007_sect']"
5000615998,US8722852006,TCI Communications Financing I,,,,EXCLUDED,,EXCLUDED,,EXCLUDED,,,EXCLUDED,,,,,,True,"['str_004_asec', 'cs_001_sec', 'cs_003_sec', 'str_007_sect']"
4297198834,US879571AB37,Telex Communications Intermediate Holdings LLC,EXCLUDED,,,,,,,,,,,,,,,,True,['str_001_s']
4295871940,KYG8672Y1089,Tao Heung Holdings Ltd,OK,,,OK,,OK,,,,,OK,,,,,,False,[]
5000011130,US87943MAD02,Telemundo Group Inc,,,,EXCLUDED,,EXCLUDED,,EXCLUDED,,,EXCLUDED,,,,,,True,"['str_004_asec', 'cs_001_sec', 'cs_003_sec', 'str_007_sect']"
4295908070,US8715651076,Ascent Industries Co,,,,OK,,OK,,,,,OK,,,,,,False,[]
4296730056,US8769011094,Taurus Corp,,,,EXCLUDED,,EXCLUDED,,EXCLUDED,,,EXCLUDED,,,,,,True,"['str_004_asec', 'cs_001_sec', 'cs_003_sec', 'str_007_sect']"
4295908063,US8712371033,Sykes Enterprises Inc,,,,OK,,OK,,,,,OK,,,,,,False,[]
5001429736,US87819P1021,Teavana Holdings Inc,EXCLUDED,,,EXCLUDED,,EXCLUDED,,,,EXCLUDED,EXCLUDED,,,,,,True,"['str_001_s', 'str_004_asec', 'cs_001_sec', 'str_006_sec', 'str_007_sect']"
4295905011,US86815V1052,Superior Essex Inc,EXCLUDED,,,EXCLUDED,,EXCLUDED,,,,EXCLUDED,EXCLUDED,,,,,,True,"['str_001_s', 'str_004_asec', 'cs_001_sec', 'str_006_sec', 'str_007_sect']"
5000787437,US86646P1030,Sumo Logic Inc,,,,,,,,OK,,,,,,,,,False,[]
5000454292,US86771WAA36,Sunrun Inc,,,,,,,,OK,,,,,,,,,False,[]
5074784923,XS2212373828,BOSCI (BVI) Ltd,OK,,,OK,,OK,,,,,OK,,,,,,False,[]
5034844529,XS0617027502,Elster Finance BV,EXCLUDED,,EXCLUDED,EXCLUDED,,,,FLAG,,EXCLUDED,EXCLUDED,,,,EXCLUDED,,True,"['str_001_s', 'str_003_ec', 'str_004_asec', 'str_006_sec', 'str_007_sect', 'art_8_basicos']"
5039679551,XS0808635519,Bond Mission Critical Services Ltd,,,,,,,,EXCLUDED,,,,,,,,,True,['cs_003_sec']
5001113967,XS0492555783,GE Capital Trust IV,,,,,,,,EXCLUDED,,,,,,,,,True,['cs_003_sec']
5000868081,XS0493253396,Vedanta Resources Jersey Ltd,EXCLUDED,,,,,,,,,,,,,,,,True,['str_001_s']
4296546953,XS0567911754,HSBC Bank USA NA (New York Branch),,,,OK,,OK,,OK,,,OK,,,,,,False,[]
4298117636,XS0559379747,Taurus Capital SA,,,,,,,,OK,,,,,,,,,False,[]
5000465024,XS0596873520,Mingfa Group (International) Co Ltd,,,,,,,,OK,,,,,,,,,False,[]
5001432412,XS0543477821,PHBS Ltd,,,,,,,,,,EXCLUDED,,,,,,,True,['str_006_sec']
5064665569,INE00Q801016,Multi Commodity Exchange Clearing Corporation Ltd,OK,,,,,,,,,,,,,,,,False,[]
4298007747,CA8730281042,TMX Group Inc,,,,,,,,EXCLUDED,,,,,,,,,True,['cs_003_sec']
5043332646,XS1088299745,Lai Sun Garment International Finance (2014) Ltd,OK,,,OK,,OK,,,,OK,OK,,,,,,False,[]
4295875411,XS1069853247,Sogefi SpA,,,,OK,,OK,,,,,OK,,,,,,False,[]
5001168893,XS0923436264,Union Bank of India Ltd (Hong Kong Branch),OK,,,,,,,,,,,,,,,,False,[]
4296686400,XS0863129135,Rio Tinto Finance PLC,EXCLUDED,,EXCLUDED,,,OK,,FLAG,,EXCLUDED,,,,,EXCLUDED,,True,"['str_001_s', 'str_003_ec', 'str_006_sec', 'art_8_basicos']"
4295889570,XS0879841251,Ence Energia y Celulosa SA,,,,,,,,EXCLUDED,,,,,,,,,True,['cs_003_sec']
5043466808,XS0861606332,Aviva Investors European Secondary Infrastructure Credit SV SA,,,,,,,,OK,,,,,,,,,False,[]
4295896475,XS0856594642,Unite Group PLC,,,,,,,,OK,,,,,,,,,False,[]
4298013743,XS1003176218,Allianz Finance III BV,,,,,,,,FLAG,,,,,,,,,False,[]
5040171282,XS0955613228,Pacific Emerald Pte Ltd,OK,,,OK,,OK,,,,OK,OK,,,,,,False,[]
5074854470,XS2303070911,H&M Finance BV,,,,,,,,OK,,,,,,,,,False,[]
4295906968,US51504L1070,Landmark Bancorp Inc,OK,,,OK,,OK,,,,,OK,,,,,,False,[]
4295916330,ZW0009011579,TSL Ltd,,,,,OK,,,,,,,,,,,,False,[]
5052536405,ZAE000260576,Liberty Two Degrees Ltd,EXCLUDED,,,EXCLUDED,,EXCLUDED,,EXCLUDED,,EXCLUDED,EXCLUDED,,,,,,True,"['str_001_s', 'str_004_asec', 'cs_001_sec', 'cs_003_sec', 'str_006_sec', 'str_007_sect']"
5047055732,ZAE000208963,Stor-Age Property REIT Ltd,OK,,,,,,,,,,,,,,,,False,[]
5068337508,ZAE000272522,Southern Sun Ltd,,,,,,,,OK,,,,,,,,,False,[]
5037839953,US48283N1063,Kadmon Holdings Inc,,,,EXCLUDED,,EXCLUDED,,EXCLUDED,,EXCLUDED,EXCLUDED,,,,,,True,"['str_004_asec', 'cs_001_sec', 'cs_003_sec', 'str_006_sec', 'str_007_sect']"
4296308604,US487175AB70,Kearny Street Real Estate Company LP,,,,FLAG,,FLAG,,FLAG,,,FLAG,,,,,,False,[]
